Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,S,I,R,Confirmed,Deaths
1/30/2020,1,1,0,0,0,0,1387297451,1,0,1,0
1/31/2020,0,1,0,0,0,0,1387297451,1,0,1,0
2/1/2020,0,1,0,0,0,0,1387297451,1,0,1,0
2/2/2020,1,2,0,0,0,0,1387297450,2,0,2,0
2/3/2020,1,3,0,0,0,0,1387297449,3,0,3,0
2/4/2020,0,3,0,0,0,0,1387297449,3,0,3,0
2/5/2020,0,3,0,0,0,0,1387297449,3,0,3,0
2/6/2020,0,3,0,0,0,0,1387297449,3,0,3,0
2/7/2020,0,3,0,0,0,0,1387297449,3,0,3,0
2/8/2020,0,3,0,0,0,0,1387297449,3,0,3,0
2/9/2020,0,3,0,0,0,0,1387297449,3,0,3,0
2/10/2020,0,3,0,0,0,0,1387297449,3,0,3,0
2/11/2020,0,3,0,0,0,0,1387297449,3,0,3,0
2/12/2020,0,3,0,0,0,0,1387297449,3,0,3,0
2/13/2020,0,3,1,1,0,0,1387297450,2,1,3,0
2/14/2020,0,3,0,1,0,0,1387297450,2,1,3,0
2/15/2020,0,3,0,1,0,0,1387297450,2,1,3,0
2/16/2020,0,3,1,2,0,0,1387297451,1,2,3,0
2/17/2020,0,3,0,2,0,0,1387297451,1,2,3,0
2/18/2020,0,3,0,2,0,0,1387297451,1,2,3,0
2/19/2020,0,3,0,2,0,0,1387297451,1,2,3,0
2/20/2020,0,3,1,3,0,0,1387297452,0,3,3,0
2/21/2020,0,3,0,3,0,0,1387297452,0,3,3,0
2/22/2020,0,3,0,3,0,0,1387297452,0,3,3,0
2/23/2020,0,3,0,3,0,0,1387297452,0,3,3,0
2/24/2020,0,3,0,3,0,0,1387297452,0,3,3,0
2/25/2020,0,3,0,3,0,0,1387297452,0,3,3,0
2/26/2020,0,3,0,3,0,0,1387297452,0,3,3,0
2/27/2020,0,3,0,3,0,0,1387297452,0,3,3,0
2/28/2020,0,3,0,3,0,0,1387297452,0,3,3,0
2/29/2020,0,3,0,3,0,0,1387297452,0,3,3,0
3/1/2020,0,3,0,3,0,0,1387297452,0,3,3,0
3/2/2020,2,5,0,3,0,0,1387297450,2,3,5,0
3/3/2020,1,6,0,3,0,0,1387297449,3,3,6,0
3/4/2020,22,28,0,3,0,0,1387297427,25,3,28,0
3/5/2020,2,30,0,3,0,0,1387297425,27,3,30,0
3/6/2020,1,31,0,3,0,0,1387297424,28,3,31,0
3/7/2020,3,34,0,3,0,0,1387297421,31,3,34,0
3/8/2020,5,39,0,3,0,0,1387297416,36,3,39,0
3/9/2020,9,48,0,3,0,0,1387297407,45,3,48,0
3/10/2020,15,63,1,4,0,0,1387297393,59,4,63,0
3/11/2020,8,71,0,4,0,0,1387297385,67,4,71,0
3/12/2020,10,81,0,4,1,1,1387297375,77,4,81,1
3/13/2020,10,91,6,10,0,1,1387297371,81,10,91,1
3/14/2020,11,102,0,10,1,2,1387297360,92,10,102,2
3/15/2020,10,112,3,13,0,2,1387297353,99,13,112,2
3/16/2020,14,126,1,14,0,2,1387297340,112,14,126,2
3/17/2020,20,146,1,15,1,3,1387297321,131,15,146,3
3/18/2020,25,171,0,15,0,3,1387297296,156,15,171,3
3/19/2020,27,198,5,20,1,4,1387297274,178,20,198,4
3/20/2020,58,256,3,23,0,4,1387297219,233,23,256,4
3/21/2020,78,334,0,23,0,4,1387297141,311,23,334,4
3/22/2020,69,403,0,23,3,7,1387297072,380,23,403,7
3/23/2020,94,497,2,25,2,9,1387296980,472,25,497,9
3/24/2020,74,571,15,40,1,10,1387296921,531,40,571,10
3/25/2020,86,657,3,43,1,11,1387296838,614,43,657,11
3/26/2020,73,730,7,50,5,16,1387296772,680,50,730,16
3/27/2020,153,883,25,75,3,19,1387296644,808,75,883,19
3/28/2020,136,1019,10,85,5,24,1387296518,934,85,1019,24
3/29/2020,120,1139,17,102,3,27,1387296415,1037,102,1139,27
3/30/2020,187,1326,35,137,14,41,1387296263,1189,137,1326,41
3/31/2020,309,1635,13,150,6,47,1387295967,1485,150,1635,47
4/1/2020,424,2059,19,169,6,53,1387295562,1890,169,2059,53
4/2/2020,486,2545,22,191,16,69,1387295098,2354,191,2545,69
4/3/2020,560,3105,39,230,14,83,1387294577,2875,230,3105,83
4/4/2020,579,3684,56,286,13,96,1387294054,3398,286,3684,96
4/5/2020,609,4293,43,329,22,118,1387293488,3964,329,4293,118
4/6/2020,484,4777,65,394,16,134,1387293069,4383,394,4777,134
4/7/2020,573,5350,75,469,27,161,1387292571,4881,469,5350,161
4/8/2020,565,5915,96,565,20,181,1387292102,5350,565,5915,181
4/9/2020,813,6728,70,635,46,227,1387291359,6093,635,6728,227
4/10/2020,871,7599,151,786,22,249,1387290639,6813,786,7599,249
4/11/2020,854,8453,186,972,41,290,1387289971,7481,972,8453,290
4/12/2020,758,9211,114,1086,42,332,1387289327,8125,1086,9211,332
4/13/2020,1243,10454,112,1198,27,359,1387288196,9256,1198,10454,359
4/14/2020,1031,11485,167,1365,37,396,1387287332,10120,1365,11485,396
4/15/2020,886,12371,144,1509,27,423,1387286590,10862,1509,12371,423
4/16/2020,1061,13432,258,1767,26,449,1387285787,11665,1767,13432,449
4/17/2020,922,14354,273,2040,38,487,1387285138,12314,2040,14354,487
4/18/2020,1371,15725,426,2466,35,522,1387284193,13259,2466,15725,522
4/19/2020,1580,17305,388,2854,38,560,1387283001,14451,2854,17305,560
4/20/2020,1239,18544,419,3273,33,593,1387282181,15271,3273,18544,593
4/21/2020,1537,20081,703,3976,53,646,1387281347,16105,3976,20081,646
4/22/2020,1292,21373,394,4370,36,682,1387280449,17003,4370,21373,682
4/23/2020,1667,23040,642,5012,40,722,1387279424,18028,5012,23040,722
4/24/2020,1408,24448,484,5496,59,781,1387278500,18952,5496,24448,781
4/25/2020,1835,26283,442,5938,44,825,1387277107,20345,5938,26283,825
4/26/2020,1607,27890,585,6523,56,881,1387276085,21367,6523,27890,881
4/27/2020,1568,29458,580,7103,58,939,1387275097,22355,7103,29458,939
4/28/2020,1902,31360,636,7739,69,1008,1387273831,23621,7739,31360,1008
4/29/2020,1705,33065,690,8429,71,1079,1387272816,24636,8429,33065,1079
4/30/2020,1801,34866,630,9059,75,1154,1387271645,25807,9059,34866,1154
5/1/2020,2396,37262,962,10021,77,1231,1387270211,27241,10021,37262,1231
5/2/2020,2564,39826,831,10852,92,1323,1387268478,28974,10852,39826,1323
5/3/2020,2952,42778,911,11763,140,1463,1387266437,31015,11763,42778,1463
5/4/2020,3656,46434,1082,12845,103,1566,1387263863,33589,12845,46434,1566
5/5/2020,2971,49405,1295,14140,128,1694,1387262187,35265,14140,49405,1694
5/6/2020,3602,53007,1161,15301,91,1785,1387259746,37706,15301,53007,1785
5/7/2020,3344,56351,1475,16776,104,1889,1387257877,39575,16776,56351,1889
5/8/2020,3339,59690,1111,17887,97,1986,1387255649,41803,17887,59690,1986
5/9/2020,3175,62865,1414,19301,115,2101,1387253888,43564,19301,62865,2101
5/10/2020,4311,67176,1669,20970,112,2213,1387251246,46206,20970,67176,2213
5/11/2020,3592,70768,1579,22549,81,2294,1387249233,48219,22549,70768,2294
5/12/2020,3562,74330,1905,24454,120,2414,1387247576,49876,24454,74330,2414
5/13/2020,3726,78056,1963,26417,137,2551,1387245813,51639,26417,78056,2551
5/14/2020,3991,82047,1594,28011,97,2648,1387243416,54036,28011,82047,2648
5/15/2020,3808,85855,2234,30245,104,2752,1387241842,55610,30245,85855,2752
5/16/2020,4794,90649,4012,34257,120,2872,1387241060,56392,34257,90649,2872
5/17/2020,5049,95698,2538,36795,152,3024,1387238549,58903,36795,95698,3024
5/18/2020,4628,100326,2482,39277,131,3155,1387236403,61049,39277,100326,3155
5/19/2020,6154,106480,3032,42309,146,3301,1387233281,64171,42309,106480,3301
5/20/2020,5720,112200,3113,45422,134,3435,1387230674,66778,45422,112200,3435
5/21/2020,6023,118223,3131,48553,148,3583,1387227782,69670,48553,118223,3583
5/22/2020,6536,124759,3280,51833,142,3725,1387224526,72926,51833,124759,3725
5/23/2020,6667,131424,2576,54409,142,3867,1387220437,77015,54409,131424,3867
5/24/2020,7111,138537,3285,57694,156,4023,1387216609,80843,57694,138537,4023
5/25/2020,6414,144951,3012,60706,150,4173,1387213207,84245,60706,144951,4173
5/26/2020,5907,150858,3585,64291,173,4346,1387210885,86567,64291,150858,4346
5/27/2020,7246,158104,3434,67725,188,4534,1387207073,90379,67725,158104,4534
5/28/2020,7254,165358,3171,70896,176,4710,1387202990,94462,70896,165358,4710
5/29/2020,8138,173496,11735,82631,269,4979,1387206587,90865,82631,173496,4979
5/30/2020,8364,181860,4303,86934,205,5184,1387202526,94926,86934,181860,5184
5/31/2020,8789,190649,4928,91862,222,5406,1387198665,98787,91862,190649,5406
6/1/2020,7723,198372,3882,95744,201,5607,1387194824,102628,95744,198372,5607
