Date,Confirmed,S,I,R,Deaths,,,,
3/9/2020,2,124862218,2,0,0,,,,
3/10/2020,2,124862218,2,0,0,,,,
3/11/2020,2,124862218,2,0,0,,,,
3/12/2020,11,124862209,11,0,0,,,,
3/13/2020,14,124862206,14,0,0,,,,
3/14/2020,14,124862206,14,0,0,,,,
3/15/2020,32,124862188,32,0,0,,,,
3/16/2020,32,124862188,32,0,0,,,,
3/17/2020,39,124862181,39,0,1,,,,
3/18/2020,42,124862178,42,0,1,,,,
3/19/2020,47,124862173,47,0,1,,,,
3/20/2020,52,124862168,52,0,1,,,,
3/21/2020,63,124862157,63,0,1,,,,
3/22/2020,67,124862153,67,0,2,,,,
3/23/2020,74,124862146,74,0,2,,,,
3/24/2020,89,124862131,89,0,2,,,,
3/25/2020,128,124862093,127,1,3,,,,
3/26/2020,124,124862097,123,1,3,,,,
3/27/2020,130,124862105,115,15,4,,,,
3/28/2020,180,124862065,155,25,5,,,,
3/29/2020,186,124862059,161,25,6,,,,
3/30/2020,198,124862047,173,25,8,,,,
3/31/2020,216,124862043,177,39,9,,,,
4/1/2020,302,124861957,263,39,9,,,,
4/2/2020,335,124861927,293,42,13,,,,
4/3/2020,335,124861927,293,42,16,,,,
4/4/2020,490,124861772,448,42,24,,,,
4/5/2020,490,124861772,448,42,24,,,,
4/6/2020,748,124861528,692,56,45,,,,
4/7/2020,868,124861408,812,56,48,,,,
4/8/2020,1018,124861281,939,79,64,,,,
4/9/2020,1135,124861202,1018,117,72,,,,
4/10/2020,1364,124860981,1239,125,97,,,,
4/11/2020,1574,124860834,1386,188,110,,,,
4/12/2020,1761,124860667,1553,208,127,,,,
4/13/2020,1985,124860452,1768,217,149,,,,
4/14/2020,2337,124860112,2108,229,160,,,,
4/15/2020,2687,124859792,2428,259,178,,,,
4/16/2020,2919,124859596,2624,295,187,,,,
4/17/2020,3205,124859315,2905,300,194,,,,
4/18/2020,3323,124859228,2992,331,201,,,,
4/19/2020,3651,124858934,3286,365,211,,,,
4/20/2020,4203,124858524,3696,507,223,,,,
4/21/2020,4669,124858123,4097,572,232,,,,
4/22/2020,5221,124857721,4499,722,251,,,,
4/23/2020,5652,124857357,4863,789,269,,,,
4/24/2020,6430,124856630,5590,840,283,,,,
4/25/2020,6817,124856360,5860,957,301,,,,
4/26/2020,7628,124855668,6552,1076,323,,,,
4/27/2020,8068,124855340,6880,1188,342,,,,
4/28/2020,8590,124854912,7308,1282,369,,,,
4/29/2020,9318,124854290,7930,1388,400,,,,
4/30/2020,9915,124853898,8322,1593,432,,,,
5/1/2020,10498,124853495,8725,1773,459,,,,
5/2/2020,11506,124852593,9627,1879,485,,,,
5/3/2020,12296,124851924,10296,2000,521,,,,
5/4/2020,12974,124851361,10859,2115,548,,,,
5/5/2020,14541,124850144,12076,2465,583,,,,
5/6/2020,15525,124849514,12706,2819,617,,,,
5/7/2020,16758,124848556,13664,3094,651,,,,
5/8/2020,17974,124847547,14673,3301,694,,,,
5/9/2020,19063,124846627,15593,3470,731,,,,
5/10/2020,20228,124845792,16428,3800,779,,,,
5/11/2020,22171,124844248,17972,4199,832,,,,
5/12/2020,23401,124843605,18615,4786,868,,,,
5/13/2020,24427,124842918,19302,5125,921,,,,
5/14/2020,25922,124841845,20375,5547,975,,,,
