Date	Confirmed	S	I	R	Deaths
3/10/2020	1	83704073	1	0	0
3/11/2020	1	83704073	1	0	0
3/12/2020	1	83704073	1	0	0
3/13/2020	1	83704073	1	0	0
3/14/2020	1	83704073	1	0	0
3/15/2020	1	83704073	1	0	0
3/16/2020	1	83704073	1	0	0
3/17/2020	1	83704073	1	0	0
3/18/2020	1	83704073	1	0	0
3/19/2020	2	83704073	1	1	0
3/20/2020	3	83704072	2	1	0
3/21/2020	3	83704072	2	1	0
3/22/2020	7	83704068	6	1	0
3/23/2020	9	83704066	8	1	0
3/24/2020	15	83704060	14	1	0
3/25/2020	18	83704057	17	1	0
3/26/2020	26	83704049	25	1	1
3/27/2020	29	83704046	28	1	1
3/28/2020	40	83704036	38	2	1
3/29/2020	49	83704029	45	4	1
3/30/2020	67	83704011	63	4	1
3/31/2020	74	83704004	70	4	1
4/1/2020	234	83703846	228	6	1
4/2/2020	234	83703846	228	6	1
4/3/2020	309	83703771	303	6	1
4/4/2020	411	83703669	405	6	2
4/5/2020	485	83703595	479	6	3
4/6/2020	571	83703511	563	8	5
4/7/2020	621	83703461	613	8	5
4/8/2020	690	83703403	671	19	7
4/9/2020	738	83703357	717	21	8
4/10/2020	834	83703261	813	21	8
4/11/2020	911	83703207	867	44	8
4/12/2020	969	83703149	925	44	10
4/13/2020	1075	83703049	1025	50	11
4/14/2020	1173	83702959	1115	58	11
4/15/2020	1204	83702951	1123	81	12
4/16/2020	1242	83702950	1124	118	14
4/17/2020	1267	83702987	1087	180	15
4/18/2020	1323	83703034	1040	283	15
4/19/2020	1372	83703067	1007	365	15
4/20/2020	1477	83703008	1066	411	15
4/21/2020	1520	83703011	1063	457	17
4/22/2020	1596	83703113	961	635	18
4/23/2020	1629	83703107	967	662	18
4/24/2020	1683	83703143	931	752	20
4/25/2020	1755	83703185	889	866	22
4/26/2020	1821	83703213	861	960	23
4/27/2020	1885	83703209	865	1020	24
4/28/2020	1937	83703238	836	1101	24
4/29/2020	2058	83703184	890	1168	25
4/30/2020	2162	83703122	952	1210	27
5/1/2020	2323	83703009	1065	1258	27
5/2/2020	2526	83702860	1214	1312	28
5/3/2020	2757	83702658	1416	1341	29
5/4/2020	3023	83702430	1644	1379	30
5/5/2020	3550	83701933	2141	1409	31
5/6/2020	4058	83701501	2573	1485	33
5/7/2020	4829	83700761	3313	1516	35
5/8/2020	5409	83700212	3862	1547	37
5/9/2020	6009	83699670	4404	1605	40
5/10/2020	6535	83699363	4711	1824	44
5/11/2020	7204	83698829	5245	1959	47
5/12/2020	8002	83698123	5951	2051	53
5/13/2020	8718	83697490	6584	2134	61
5/14/2020	9227	83697023	7051	2176	64
5/15/2020	9674	83696640	7434	2240	66
5/16/2020	10108	83696565	7509	2599	71
5/17/2020	10585	83697027	7047	3538	74
5/18/2020	11224	83697022	7052	4172	78
5/19/2020	11760	83696720	7354	4406	81
5/20/2020	12448	83696521	7553	4895	84
5/21/2020	13191	83696765	7309	5882	87
5/22/2020	13967	83696389	7685	6282	94
5/23/2020	14753	83696449	7625	7128	98
5/24/2020	15512	83696053	8021	7491	103
5/25/2020	16277	83696121	7953	8324	111
5/26/2020	17082	83695723	8351	8731	118
5/27/2020	17728	83695688	8386	9342	127
5/28/2020	18545	83695438	8636	9909	133
5/29/2020	19372	83695250	8824	10548	145
5/30/2020	20246	83695141	8933	11313	154
5/31/2020	21184	83694890	9184	12000	160
6/1/2020	22333	83694498	9576	12757	173
6/2/2020	23495	83693749	10325	13170	184
6/3/2020	24586	83693194	10880	13706	197
6/4/2020	25872	83692518	11556	14316	208
6/5/2020	27256	83691720	12354	14902	220
6/6/2020	28694	83691142	12932	15762	232
6/7/2020	30152	83690317	13757	16395	251
6/8/2020	31667	83689406	14668	16999	269
6/9/2020	33229	83688372	15702	17527	286
6/10/2020	34914	83687485	16589	18325	307
6/11/2020	36841	83686566	17508	19333	326
6/12/2020	38716	83686063	18011	20705	349
6/13/2020	40698	83685423	18651	22047	367
6/14/2020	42687	83684796	19278	23409	397
6/15/2020	44661	83683960	20114	24547	435
6/16/2020	46504	83682914	21160	25344	479
6/17/2020	48019	83682837	21237	26782	528
6/18/2020	50193	83681505	22569	27624	576
6/19/2020	52334	83680381	23693	28641	625
6/20/2020	54449	83679896	24178	30271	666
6/21/2020	56845	83678545	25529	31316	704
6/22/2020	59377	83677451	26623	32754	757
6/23/2020	62087	83676099	27975	34112	794
6/24/2020	64603	83674810	29264	35339	833
6/25/2020	67468	83674369	29705	37763	866
6/26/2020	70977	83673096	30978	39999	911
6/27/2020	74622	83670809	33265	41357	957
6/28/2020	78335	83669833	34241	44094	1025
6/29/2020	82275	83667336	36738	45537	1079
6/30/2020	86224	83665599	38475	47749	1141
7/1/2020	90167	83663981	40093	50074	1201
7/2/2020	94049	83662951	41123	52926	1264
7/3/2020	98392	83661703	42371	56021	1321
7/4/2020	102721	83659731	44343	58378	1385
7/5/2020	107001	83657665	46409	60592	1450
7/6/2020	111151	83655701	48373	62778	1510
7/7/2020	114978	83655667	48407	66571	1571
7/8/2020	118594	83656596	47478	71116	1636
7/9/2020	122350	83655891	48183	74167	1700
7/10/2020	126581	83655654	48420	78161	1765
7/11/2020	130261	83656137	47937	82324	1829
7/12/2020	134226	83655763	48311	85915	1898
7/13/2020	138470	83655136	48938	89532	1966
7/14/2020	142798	83653843	50231	92567	2032
7/15/2020	147324	83654060	50014	97310	2099
7/16/2020	151820	83654564	49510	102310	2167
7/17/2020	156369	83655121	48953	107416	2236
7/18/2020	160907	83653974	50100	110807	2315
7/19/2020	165714	83652216	51858	113856	2403
7/20/2020	170693	83651296	52778	117915	2481
