Date	Confirmed	Recovered	S	I	R	Deaths
3/10/2020	4	0	30290996	4	0	0
3/11/2020	5	0	30290995	5	0	0
3/12/2020	6	0	30290994	6	0	0
3/13/2020	7	1	30290994	6	1	1
3/14/2020	7	1	30290994	6	1	1
3/15/2020	7	2	30290995	5	2	1
3/16/2020	7	2	30290995	5	2	1
3/17/2020	8	2	30290994	6	2	1
3/18/2020	10	2	30290992	8	2	1
3/19/2020	12	3	30290991	9	3	1
3/20/2020	17	5	30290988	12	5	1
3/21/2020	26	5	30290979	21	5	1
3/22/2020	29	5	30290976	24	5	1
3/23/2020	29	5	30290976	24	5	1
3/24/2020	30	6	30290976	24	6	2
3/25/2020	31	6	30290975	25	6	1
3/26/2020	36	6	30290970	30	6	1
3/27/2020	36	6	30290970	30	6	1
3/28/2020	39	6	30290967	33	6	1
3/29/2020	49	6	30290957	43	6	2
3/30/2020	87	6	30290919	81	6	2
3/31/2020	97	6	30290909	91	6	2
4/1/2020	152	6	30290854	146	6	2
4/2/2020	219	8	30290789	211	8	4
4/3/2020	219	8	30290789	211	8	4
4/4/2020	445	15	30290570	430	15	6
4/5/2020	503	18	30290515	485	18	7
4/6/2020	523	19	30290496	504	19	7
4/7/2020	576	21	30290445	555	21	7
4/8/2020	576	21	30290445	555	21	9
4/9/2020	669	21	30290352	648	21	9
4/10/2020	898	25	30290127	873	25	13
4/11/2020	903	25	30290122	878	25	14
4/12/2020	1069	25	30289956	1044	25	19
4/13/2020	1154	27	30289873	1127	27	24
4/14/2020	1510	30	30289520	1480	30	28
4/15/2020	1561	30	30289469	1531	30	30
4/16/2020	1578	42	30289464	1536	42	32
4/17/2020	1640	51	30289411	1589	51	38
4/18/2020	1707	72	30289365	1635	72	42
4/19/2020	1893	72	30289179	1821	72	43
4/20/2020	2003	290	30289287	1713	290	45
4/21/2020	2081	431	30289350	1650	431	47
4/22/2020	2156	611	30289455	1545	611	47
4/23/2020	2248	724	30289476	1524	724	48
4/24/2020	2376	808	30289432	1568	808	50
4/25/2020	2514	857	30289343	1657	857	53
4/26/2020	2625	869	30289244	1756	869	54
4/27/2020	2918	877	30288959	2041	877	54
4/28/2020	3108	877	30288769	2231	877	54
4/29/2020	3314	1078	30288764	2236	1078	54
4/30/2020	3439	1092	30288653	2347	1092	56
5/1/2020	3515	1094	30288579	2421	1094	59
5/2/2020	3738	1167	30288429	2571	1167	61
5/3/2020	4122	1256	30288134	2866	1256	64
5/4/2020	4549	1362	30287813	3187	1362	64
5/5/2020	4898	1431	30287533	3467	1431	64
5/6/2020	5104	1468	30287364	3636	1468	64
5/7/2020	5532	1542	30287010	3990	1542	65
5/8/2020	5980	1931	30286951	4049	1931	66
5/9/2020	6318	2020	30286702	4298	2020	68
5/10/2020	6542	2020	30286478	4522	2020	73
5/11/2020	6923	2069	30286146	4854	2069	73
5/12/2020	7233	2129	30285896	5104	2129	73
5/13/2020	7639	2512	30285873	5127	2512	86
5/14/2020	7998	2858	30285860	5140	2858	106
5/15/2020	8470	3045	30285575	5425	3045	115
5/16/2020	8895	3518	30285623	5377	3518	123
5/17/2020	9333	3926	30285593	5407	3926	129
5/18/2020	10054	4485	30285431	5569	4485	160
5/19/2020	10054	4485	30285431	5569	4485	168
5/20/2020	10554	4750	30285196	5804	4750	168
5/21/2020	11088	5192	30285104	5896	5192	176
5/22/2020	11659	5567	30284908	6092	5567	194
5/23/2020	12319	5897	30284578	6422	5897	208
5/24/2020	12910	6267	30284357	6643	6267	231
5/25/2020	13418	6540	30284122	6878	6540	261
5/26/2020	14053	6771	30283718	7282	6771	276
5/27/2020	14465	7223	30283758	7242	7223	288
5/28/2020	15257	7264	30283007	7993	7264	303
5/29/2020	16281	7495	30282214	8786	7495	316
5/30/2020	17386	7846	30281460	9540	7846	398
5/31/2020	18549	8075	30280526	10474	8075	416
6/1/2020	19844	8478	30279634	11366	8478	473
6/2/2020	20834	8746	30278912	12088	8746	523
6/3/2020	22132	9243	30278111	12889	9243	556
6/4/2020	23645	9542	30276897	14103	9542	606
6/5/2020	25004	9898	30275894	15106	9898	650
6/6/2020	26334	10315	30274981	16019	10315	708
6/7/2020	27654	10664	30274010	16990	10664	761
6/8/2020	28936	10999	30273063	17937	10999	812
6/9/2020	29943	11357	30272414	18586	11357	874
6/10/2020	31309	11861	30271552	19448	11861	905
6/11/2020	32810	12245	30270435	20565	12245	984
6/12/2020	34687	12731	30269044	21956	12731	1085
6/13/2020	36824	13398	30267574	23426	13398	1214
6/14/2020	38958	14945	30266987	24013	14945	1271
6/15/2020	41182	15823	30265641	25359	15823	1327
6/16/2020	42829	16427	30264598	26402	16427	1400
6/17/2020	44688	16500	30262812	28188	16500	1837
6/18/2020	47102	17457	30261355	29645	17457	1904
6/19/2020	49979	21341	30262362	28638	21341	1969
6/20/2020	53116	23569	30261453	29547	23569	2035
6/21/2020	56746	31294	30265548	25452	31294	2112
6/22/2020	59746	33013	30264267	26733	33013	2175
6/23/2020	62655	36602	30264947	26053	36602	2233
6/24/2020	66602	39313	30263711	27289	39313	2301
6/25/2020	70390	41437	30262047	28953	41437	2365
6/26/2020	73780	44765	30261985	29015	44765	2429
6/27/2020	77240	47091	30260851	30149	47091	2492
6/28/2020	80188	49301	30260113	30887	49301	2558
6/29/2020	83077	52607	30260530	30470	52607	2623
6/30/2020	85161	56235	30262074	28926	56235	2680
7/1/2020	87360	58348	30261988	29012	58348	2742
7/2/2020	89802	59992	30261190	29810	59992	2803
7/3/2020	92175	63007	30261832	29168	63007	2864
7/4/2020	94695	65624	30261929	29071	65624	2923
7/5/2020	97200	68256	30262056	28944	68256	3004
7/6/2020	99444	71339	30262895	28105	71339	3067
7/7/2020	100823	72088	30262265	28735	72088	3115
7/8/2020	102831	74217	30262386	28614	74217	3165
7/9/2020	104864	78199	30264335	26665	78199	3213
7/10/2020	107051	82226	30266175	24825	82226	3258
7/11/2020	109140	84694	30266554	24446	84694	3300
7/12/2020	110921	87692	30267771	23229	87692	3334
7/13/2020	112494	89968	30268474	22526	89968	3371
7/14/2020	113740	91312	30268572	22428	91312	3411
7/15/2020	115346	93236	30268890	22110	93236	3446
7/16/2020	116993	95699	30269706	21294	95699	3487
7/17/2020	118645	97693	30270048	20952	97693	3545
7/18/2020	120107	99301	30270194	20806	99301	3571
7/19/2020	121582	101274	30270692	20308	101274	3597
7/20/2020	122793	103134	30271341	19659	103134	3628
